run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,configname,FeedbackVersion,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,datetime,20240511-20:45:11,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,datetimef,20240511-204511,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,experiment,FeedbackVersion,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,inifile,omnetpp.ini,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,iterationvars,$genInterval=0.4,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,iterationvarsd,genInterval=0.4,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,iterationvarsf,genInterval=0.4-,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,measurement,$genInterval=0.4,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,network,NetworkFV,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,processid,11876,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,repetition,0,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,replication,#0,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,resultdir,results,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,runnumber,6,,,
FeedbackVersion-6-20240511-20:45:11-11876,runattr,,,seedset,6,,,
FeedbackVersion-6-20240511-20:45:11-11876,itervar,,,genInterval,0.4,,,
FeedbackVersion-6-20240511-20:45:11-11876,config,,,network,NetworkFV,,,
FeedbackVersion-6-20240511-20:45:11-11876,config,,,sim-time-limit,200s,,,
FeedbackVersion-6-20240511-20:45:11-11876,config,,,NetworkFV.nodeTx.gen.generationInterval,exponential(0.4),,,
FeedbackVersion-6-20240511-20:45:11-11876,config,,,NetworkFV.nodeTx.gen.packetByteSize,12500,,,
FeedbackVersion-6-20240511-20:45:11-11876,config,,,NetworkFV.queueOne.bufferSize,200,,,
FeedbackVersion-6-20240511-20:45:11-11876,config,,,NetworkFV.nodeRx.queue.bufferSize,200,,,
FeedbackVersion-6-20240511-20:45:11-11876,config,,,NetworkFV.nodeTx.queue.bufferSize,2000000,,,
FeedbackVersion-6-20240511-20:45:11-11876,config,,,NetworkFV.queueZero.bufferSize,200,,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.nodeTx.queue,Number of packets on TransportTx,,,453,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.nodeTx.queue,Number of packets sent - TransportTx,,,63,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.queueZero,Number of packets on queue,,,0,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.queueZero,Number of dropped packets,,,0,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.queueOne,Number of packets on queue,,,0,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.queueOne,Number of dropped packets,,,0,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.nodeRx.sink,Avg delay,,,0.75215461883246,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.nodeRx.sink,Number of packets,,,63,,
FeedbackVersion-6-20240511-20:45:11-11876,scalar,NetworkFV.nodeRx.queue,Number of packets on TransportRx,,,0,,
FeedbackVersion-6-20240511-20:45:11-11876,param,NetworkFV.nodeTx.out.channel,typename,,,"""ned.DatarateChannel""",,
FeedbackVersion-6-20240511-20:45:11-11876,param,NetworkFV.nodeTx.out.channel,disabled,,,false,,
FeedbackVersion-6-20240511-20:45:11-11876,attr,NetworkFV.nodeTx.out.channel,disabled,mutable,,,,
FeedbackVersion-6-20240511-20:45:11-11876,param,NetworkFV.nodeTx.out.channel,delay,,,0.0001s,,
FeedbackVersion-6-20240511-20:45:11-11876,attr,NetworkFV.nodeTx.out.channel,delay,mutable,,,,
FeedbackVersion-6-20240511-20:45:11-11876,attr,NetworkFV.nodeTx.out.channel,delay,unit,s,,,
FeedbackVersion-6-20240511-20:45:11-11876,param,NetworkFV.nodeTx.out.channel,datarate,,,1e+06bps,,
FeedbackVersion-6-20240511-20:45:11-11876,attr,NetworkFV.nodeTx.out.channel,datarate,mutable,,,,
FeedbackVersion-6-20240511-20:45:11-11876,attr,NetworkFV.nodeTx.out.channel,datarate,unit,bps,,,
FeedbackVersion-6-20240511-20:45:11-11876,param,NetworkFV.nodeTx.out.channel,ber,,,0,,
